title,price
შემფრქვევი პისტოლეტი Bradas LE-5103,"8,05 GEL"
"სასხურებელი Bradas AS0050 0,5 ლ","3,15 GEL"
ცირკულარული მაგიდის ხერხი Scheppach HS100S 2000W,"585,00 GEL"
პისტოლეტი Bradas LE-5104,"10,45 GEL"
სარწყავი მბრუნავი Bradas Lime Line LE-6107,"8,35 GEL"
პისტოლეტი სარწყავი ლითონის 2 რეჟიმი Truper PR-202,"15,90 GEL"
პისტოლეტი სარწყავი ლითონის 2 რეჟიმი Truper PR-102,"15,90 GEL"
სარწყავი BRADAS WL-Z08,"18,15 GEL"
პისტოლეტი BRADAS ECO-2046,"18,90 GEL"
აკუმულატორის სჭვალსახრახნი Ingco 12V Li-Ion Proline CDLI12202,"79,00 GEL"
შლანგი Bradas WFC1/220 20 მ,"29,00 GEL"
აკუმულატორის ჯაჭვური მინი ხერხი Raider RDP-CGP20 20V,"245,00 GEL"
ბეწვა ხერხი Raider RD-JS31 500W,"67,50 GEL"
ტორსული ხერხი Scheppach HM140L 2000W,"779,00 GEL"
სეკატორი ბაღის Bradas V-Series KT-V1010,"8,50 GEL"
სასხურებელი მბრუნავი Truper REG-3X-2 360° 13 მ,"14,50 GEL"
მკვნეტარა Pretul PMP-CD4 100 მმ,"4,25 GEL"
მიქსერი Metabo RWEV 1200-2 1200W,"905,00 GEL"
სასხურებელი ზურგსაკიდი TopGarden 380314 16 ლ,"47,00 GEL"
"შლანგი Bradas Sunflex WMS3/425 3/4"" 25 მ","47,00 GEL"
ბენზოხერხი Raider RD-GCS31 2200W,"199,00 GEL"
პისტოლეტი Bradas ECO-2036,"17,00 GEL"
პერფორატორი Ingco RGH9028 800W,"145,00 GEL"
პისტოლეტი სარწყავი პლასტმასის 8 რეჟიმი Truper PR-307,"14,50 GEL"
"სარწყავი რეგულირებადი 0-360°, სარქველით და დამაგრძელებლით Bradas White Line WL-Z07","23,00 GEL"
ნიჩაბი Pretul PCD-P 98 სმ,"17,90 GEL"
სტეპლერი მექანიკური დარტყმითი Topmaster 491117 6-10 მმ,"35,90 GEL"
სასხურებელი TopGarden 380301 1.5 ლ,"9,90 GEL"
კუთხის სახეხი მანქანა Aeg WS8-125SK 800W,"225,00 GEL"
აკუმულატორის დარტყმითი ქანჩსახრახნი AEG BSS18C2-0 18V,"265,00 GEL"
"სასხურებელი პნევმატური, ხელის Bradas Aqua Spray Clear AS0150CL 1.5 ლ","19,95 GEL"
ქანჩსახრახნი დარტყმითი Ryobi ONE+ R18IW3-0 18V,"255,00 GEL"
პისტოლეტი BRADAS ECO-2038,"14,50 GEL"
დარტყმითი აკუმულატორის ქანჩსახრახნი Raider RDI-IBW03,"368,00 GEL"
მოტოცელი Raider RD-GBC20 1800W,"295,00 GEL"
"ურიკა შლანგით Bradas ECO-AG26020SET1 Black Line 1/2"" 20 მ პისტოლეტით, გასაფრქვევით და ფიტინგებით","115,00 GEL"
აკუმულატორის ფილის ვიბროშემამჭიდროებელი Raider RD-TV01 12V,"174,90 GEL"
ტრაქტორი-გაზონის საკრეჭი აკუმულატორის Solo by Al-Ko R 85.1 72V,"16500,00 GEL"
ქანჩის გასაღებების ნაკრები Gadget 233302 6-22 მმ 12 ც,"26,90 GEL"
ნიჩაბი Truper PCL-CG 21х134 სმ,"27,50 GEL"
დარტყმითი აკუმულატორის ქანჩსახრახნი Raider RDI-IBW04,"417,00 GEL"
ყუთი ინსტრუმენტებისთვის Patrol HD Compact 1 450x350x350 მმ (SKRC1HDCZAPG001),"59,00 GEL"
ნაკრები Gadget 225302 11 ც,"2,95 GEL"
მოტობურღი Raider RD-EA01 1650W,"355,00 GEL"
"ურიკა შლანგის Bradas Lime Edition Clover LE-9104 1/2"" 50 მ","71,00 GEL"
საღებავსაფრქვეველი Wagner Control Pro 250M 550W (2371053),"1555,00 GEL"
"პისტოლეტი რეგულირებადი, ლითონის, 8 რეჟიმით Bradas Lime Line LE-5108","34,00 GEL"
"ნაკრები ბიტების და თავაკების Topmaster 339207 1/4"" 3/8"" 1/2"" 216 ც","319,00 GEL"
ბეწვა ხერხი Ryobi RJS720-G 500W,"139,00 GEL"
ბენზინის გაზონის საკრეჭი თვითმავალი Raider RD-GLM07 2000W,"665,00 GEL"
საღებავსაფრქვეველი Wagner PowerPainter 90 Extra HEA 800W,"3755,00 GEL"
მოქლონის პისტოლეტი Topmaster 491156,"73,00 GEL"
ტექნიკური ფენი Wagner Furno 300 1600W,"71,50 GEL"
დანა საკანცელარიო Topmaster KN03-18 18 მმ,"4,90 GEL"
